brain.1	fetal.brain.1	bg1	bg2
1486_at	2590.04789338337	1089.2560636073	0	0
1487_at	759.35706286182	451.58871920674	0	0
1488_at	1354.36353040749	3136.72333496948	0	0
1489_s_at	43.6557191897791	58.4958361093013	0	0
149_at	221.493170194798	265.150140003275	0	0
1490_at	32.5371214660911	127.361900977118	0	0
1491_at	11.7711388126061	143.71060707896	0	0
1492_f_at	258.577466402245	324.120282457219	0	0
1493_r_at	193.636516648449	137.187077290371	0	0
1494_f_at	542.716854609979	493.09362324725	0	0
1495_at	103.347475259863	202.427014428375	0	0
1496_at	1102.42623753108	784.444087604501	0	0
1497_at	166.945579365671	386.797914752469	0	0
1498_at	174.409000432742	151.838208478148	0	0
1499_at	1589.34411262048	1708.28468866813	0	0
150_at	53.8393385848681	317.623283326691	0	0
1500_at	72.9814913601665	36.4769575261891	0	0
1501_at	203.886977988678	534.115022797691	0	0
1502_s_at	10.0274509531076	12.7830141470656	0	0
1503_at	38.5096413726295	109.3054916112	0	0
1504_s_at	61.9071103474102	262.139420734413	0	0
1505_at	187.68830754135	202.463625368794	0	0
1506_at	103.543310910289	302.703010050895	0	0
1507_s_at	126.211969232225	144.633377151229	0	0
1508_at	184.172369453927	99.8158532409027	0	0
1509_at	83.7043098455897	155.328241178758	0	0
151_s_at	15067.6620342459	32126.584503122	0	0
1510_g_at	56.3059782779777	59.7967986260007	0	0
1511_at	2295.51286029098	1331.71914478448	0	0
1512_at	774.372342385942	1495.34464330144	0	0
